2016-04-20 09:58:34 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:58:32 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:58:34 INFO  SimpleUrlHandlerMapping:341 - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-04-20 09:58:34 INFO  DispatcherServlet:507 - FrameworkServlet 'WebCorporativPortal': initialization completed in 2037 ms
2016-04-20 12:12:00 INFO  XmlWebApplicationContext:960 - Closing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:58:32 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 12:12:00 INFO  XmlWebApplicationContext:960 - Closing Root WebApplicationContext: startup date [Wed Apr 20 09:58:32 MSK 2016]; root of context hierarchy
2016-04-20 12:12:18 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2016-04-20 12:12:18 INFO  XmlWebApplicationContext:578 - Refreshing Root WebApplicationContext: startup date [Wed Apr 20 12:12:18 MSK 2016]; root of context hierarchy
2016-04-20 12:12:18 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/applicationContext.xml]
2016-04-20 12:12:19 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 525 ms
2016-04-20 12:12:19 INFO  DispatcherServlet:488 - FrameworkServlet 'WebCorporativPortal': initialization started
2016-04-20 12:12:19 INFO  XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 12:12:19 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 12:12:19 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/dispatcher-servlet.xml]
2016-04-20 12:12:19 INFO  AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-20 12:12:19 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView by.bsuir.ief.corporativ_portal.controller.LogInController.main()
2016-04-20 12:12:20 INFO  Version:30 - HV000001: Hibernate Validator 5.2.4.Final
2016-04-20 12:12:20 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 12:12:19 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 12:12:20 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 12:12:19 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 12:12:21 INFO  SimpleUrlHandlerMapping:341 - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-04-20 12:12:21 INFO  DispatcherServlet:507 - FrameworkServlet 'WebCorporativPortal': initialization completed in 2049 ms
2016-04-20 12:12:24 WARN  PageNotFound:1136 - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'WebCorporativPortal'
2016-04-20 12:14:24 INFO  XmlWebApplicationContext:960 - Closing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 12:12:19 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 12:14:24 INFO  XmlWebApplicationContext:960 - Closing Root WebApplicationContext: startup date [Wed Apr 20 12:12:18 MSK 2016]; root of context hierarchy
2016-04-20 23:00:07 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2016-04-20 23:00:07 INFO  XmlWebApplicationContext:578 - Refreshing Root WebApplicationContext: startup date [Wed Apr 20 23:00:07 MSK 2016]; root of context hierarchy
2016-04-20 23:00:07 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/applicationContext.xml]
2016-04-20 23:00:08 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 844 ms
2016-04-20 23:00:08 INFO  DispatcherServlet:488 - FrameworkServlet 'WebCorporativPortal': initialization started
2016-04-20 23:00:08 INFO  XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 23:00:08 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 23:00:08 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/dispatcher-servlet.xml]
2016-04-20 23:00:09 INFO  AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-20 23:00:09 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView by.bsuir.ief.corporativ_portal.controller.LogInController.main()
2016-04-20 23:00:09 INFO  Version:30 - HV000001: Hibernate Validator 5.2.4.Final
2016-04-20 23:00:10 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 23:00:08 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 23:00:10 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 23:00:08 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 23:00:10 INFO  SimpleUrlHandlerMapping:341 - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-04-20 23:00:10 INFO  DispatcherServlet:507 - FrameworkServlet 'WebCorporativPortal': initialization completed in 2396 ms
2016-04-20 23:00:18 WARN  PageNotFound:1136 - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'WebCorporativPortal'
2016-04-20 23:18:44 INFO  XmlWebApplicationContext:960 - Closing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 23:00:08 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 23:18:44 INFO  XmlWebApplicationContext:960 - Closing Root WebApplicationContext: startup date [Wed Apr 20 23:00:07 MSK 2016]; root of context hierarchy
2016-04-21 00:08:39 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2016-04-21 00:08:40 INFO  XmlWebApplicationContext:578 - Refreshing Root WebApplicationContext: startup date [Thu Apr 21 00:08:40 MSK 2016]; root of context hierarchy
2016-04-21 00:08:40 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/applicationContext.xml]
2016-04-21 00:08:41 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 1053 ms
2016-04-21 00:08:41 INFO  DispatcherServlet:488 - FrameworkServlet 'WebCorporativPortal': initialization started
2016-04-21 00:08:41 INFO  XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Thu Apr 21 00:08:41 MSK 2016]; parent: Root WebApplicationContext
2016-04-21 00:08:41 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/dispatcher-servlet.xml]
